prefecture,municipality,districtName,tradePrice,floorPlan,area,buildingYear,structure,cityPlanning,period,renovation
東京都,千代田区,飯田橋,65000000,３ＬＤＫ,55,昭和59年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,飯田橋,100000000,２ＬＤＫ,70,平成15年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,千代田区,飯田橋,98000000,２ＬＤＫ,65,平成15年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,千代田区,一番町,9700000,１Ｋ,20,昭和51年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,千代田区,一番町,180000000,３ＬＤＫ,85,平成23年,ＲＣ,第２種住居地域,2020年第１四半期,改装済
東京都,千代田区,一番町,57000000,１ＬＤＫ,55,昭和45年,ＳＲＣ,第２種住居地域,2020年第１四半期,改装済
東京都,千代田区,一番町,34000000,１Ｋ,25,平成25年,ＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,一番町,34000000,１ＬＤＫ,35,昭和47年,ＳＲＣ,第２種住居地域,2020年第１四半期,改装済
東京都,千代田区,岩本町,25000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,千代田区,岩本町,33000000,１Ｋ,30,平成25年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,岩本町,42000000,１ＬＤＫ,30,平成27年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,岩本町,27000000,１Ｋ,20,平成18年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,岩本町,43000000,１ＬＤＫ,40,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,岩本町,50000000,１ＬＤＫ,40,平成28年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,岩本町,20000000,,20,平成15年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,岩本町,99000000,３ＬＤＫ,75,平成25年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,岩本町,32000000,,30,平成21年,ＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,岩本町,32000000,,30,平成21年,ＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,岩本町,32000000,１Ｋ,30,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田和泉町,22000000,１Ｋ,20,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田和泉町,21000000,１Ｋ,15,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田小川町,38000000,１ＬＤＫ,40,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田猿楽町,36000000,１Ｋ,25,平成26年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田神保町,62000000,２ＤＫ,50,平成12年,ＳＲＣ,商業地域,2020年第１四半期,改装済
東京都,千代田区,神田須田町,88000000,３ＬＤＫ,80,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田須田町,26000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,神田須田町,33000000,１ＤＫ,30,平成17年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田多町,28000000,１Ｋ,20,平成17年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田多町,39000000,１Ｋ,30,平成19年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,千代田区,神田多町,31000000,１Ｋ,20,平成19年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田多町,32000000,１Ｋ,20,平成19年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,千代田区,神田錦町,54000000,１ＬＤＫ,50,平成14年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,神田三崎町,50000000,１ＬＤＫ,35,平成25年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,九段南,23000000,１Ｋ,20,平成12年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,九段南,85000000,２ＬＤＫ,55,平成25年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,麹町,24000000,１Ｋ,20,平成14年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,麹町,35000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,五番町,65000000,１ＬＤＫ,45,平成26年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,千代田区,三番町,90000000,３ＬＤＫ,80,昭和44年,ＳＲＣ,第１種住居地域,2020年第１四半期,改装済
東京都,千代田区,三番町,150000000,２ＬＤＫ,65,平成26年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,千代田区,三番町,23000000,１Ｋ,20,昭和61年,ＲＣ,第２種住居地域,2020年第１四半期,改装済
東京都,千代田区,三番町,190000000,２ＬＤＫ,115,平成17年,ＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,千代田区,外神田,80000000,１ＬＤＫ,65,平成16年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,二番町,15000000,１Ｋ,15,昭和47年,ＳＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,千代田区,二番町,15000000,１Ｋ,15,昭和47年,ＳＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,千代田区,東神田,23000000,１Ｋ,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,東神田,61000000,２ＬＤＫ,35,平成31年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,東神田,43000000,１Ｋ,30,平成31年,ＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,東神田,21000000,１Ｋ,15,平成15年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,東神田,64000000,２ＬＤＫ,55,平成24年,ＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,東神田,39000000,１ＬＤＫ,35,平成24年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,東神田,62000000,２ＬＤＫ＋Ｓ,65,平成17年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,千代田区,東神田,22000000,,20,平成16年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,千代田区,平河町,64000000,１ＬＤＫ,40,平成26年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,千代田区,平河町,40000000,１Ｋ,40,昭和57年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,入船,24000000,１Ｋ,20,平成15年,ＳＲＣ,商業地域,2020年第１四半期,
東京都,中央区,入船,58000000,２ＬＤＫ,65,平成15年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,入船,26000000,１Ｋ,20,平成12年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,入船,13000000,１Ｋ,15,昭和57年,ＲＣ,商業地域,2020年第１四半期,改装済
東京都,中央区,勝どき,55000000,３ＬＤＫ,60,平成26年,ＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,勝どき,76000000,３ＬＤＫ,80,平成20年,ＲＣ,準工業地域,2020年第１四半期,改装済
東京都,中央区,勝どき,13000000,１Ｋ,15,昭和49年,ＳＲＣ,商業地域,2020年第１四半期,未改装
東京都,中央区,勝どき,66000000,２ＬＤＫ,65,平成28年,ＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,勝どき,59000000,２ＬＤＫ＋Ｓ,65,平成14年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,勝どき,23000000,１Ｋ,20,平成14年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,勝どき,24000000,１Ｋ,20,平成19年,ＲＣ,第２種住居地域,2020年第１四半期,未改装
東京都,中央区,勝どき,74000000,３ＬＤＫ,80,平成24年,ＲＣ,第１種住居地域,2020年第１四半期,未改装
東京都,中央区,勝どき,73000000,２ＬＤＫ,60,平成22年,ＲＣ,商業地域,2020年第１四半期,改装済
